id,time,ipa,category,gloss,frequency
mean,-2000,ˈkʲommojnis,adj,mean,821275
mean,200,ɣɑˈmɑjniz,adj,,
mean,900,jeˈmæːne,adj,,
mean,final,ˈmiːn,adj,,
any,-2000,ojnoˈkos,adj,any,767968
any,200,ˈɑjnɑɣɑz,adj,,
any,900,ˈæːnij,adj,,
any,final,ˈɛni,adj,,
two,-2000,ˈdwoχ,num,two,764564
two,200,ˈtwɑj,num,,
two,900,ˈtweːjen,num,,
two,1400,ˈtwæj,num,,
even,-2000,ˈχepi,noun,even,744544
even,200,ˈɛːβɑnθ̠s,noun,,
even,900,ˈæːfen,noun,,
even,1400,ˈɛːvən,noun,,
even,final,ˈiːvən,noun,,
other,-2000,ˈħenteros,adj,other,577197
other,200,ˈɑnθ̠erɑz,adj,,
other,900,ˈoːθ̠er,adj,,
other,1400,ˈuð̠ər,adj,,
other,final,ˈʌðə,adj,,
last,-2000,ˈlojstos,noun,last,527395
last,200,ˈlɑjstɑz,noun,,
last,900,ˈlɑːst,noun,,
last,final,ˈlɑːst,noun,,
new,-2000,ˈnewjos,adj,new,508486
new,200,ˈniwjɑz,adj,,
new,900,ˈniyːwe,adj,,
new,1400,ˈniw,adj,,
new,final,ˈnjuː,adj,,
long,-2000,ˈdlongʱos,adj,long,496267
long,200,ˈlɑŋgɑz,adj,,
long,900,ˈlɑng,adj,,
long,1400,ˈlɔːng,adj,,
long,final,ˈlɒŋ,adj,,
old,-2000,ħelˈtos,adj,old,431911
old,200,ˈɑldɑz,adj,,
old,900,ˈæɑld,adj,,
old,1400,ˈɔːld,adj,,
old,final,ˈəʊld,adj,,
kind,-2000,ˈgʲenχtis,noun,kind,392242
kind,200,ˈkinθ̠iz,noun,,
kind,900,ˈkynd,noun,,
kind,1400,ˈkiːnd,noun,,
kind,final,ˈkaɪnd,noun,,
might,-2000,ˈmogʱtis,noun,might,367145
might,200,ˈmɑxtiz,noun,,
might,900,ˈmixt,noun,,
might,1400,ˈmixt,noun,,
might,final,ˈmaɪt,noun,,
three,-2000,ˈtrejes,num,three,366626
three,200,ˈθ̠riːz,num,,
three,900,ˈθ̠riː,num,,
three,1400,ˈθ̠reː,num,,
three,final,ˈθɹiː,num,,
son,-2000,suˈχnus,noun,son,325997
son,200,ˈsunuz,noun,,
son,900,ˈsunu,noun,,
son,1400,ˈsun,noun,,
son,final,ˈsʌn,noun,,
mind,-2000,mn̩ˈtis,noun,mind,312927
mind,200,ˈmundiz,noun,,
mind,1400,ˈmuːnd,noun,,
mind,final,ˈmaɪnd,noun,,
saw,-2000,soˈkeħ,noun,saw,297985
saw,200,ˈsɑɣɔː,noun,,
saw,900,ˈsɑgu,noun,,
saw,1400,ˈsaw,noun,,
saw,final,ˈsɔː,noun,,
ready,-2000,ħrojˈdʱos,adj,ready,267268
ready,200,ˈrɑjð̠az,adj,,
ready,900,ˈræːde,adj,,
ready,final,ˈɹɛdi,adj,,
hold,-2000,kʲl̩ˈtos,adj,hold,262367
hold,200,ˈxulθ̠ɑz,adj,,
hold,900,ˈxold,adj,,
hold,final,ˈhəʊld,adj,,
brother,-2000,ˈbʱreħteːr,noun,brother,259877
brother,200,ˈbrɔːθ̠ɛːr,noun,,
brother,900,ˈbroːθ̠or,noun,,
brother,1400,ˈbroːð̠ər,noun,,
brother,final,ˈbɹʌðə,noun,,
haven,-2000,ˈkħponeħ,noun,haven,258463
haven,200,ˈxɑβɑnɔː,noun,,
haven,900,ˈxæfen,noun,,
haven,1400,ˈhaːvən,noun,,
haven,final,ˈheɪvən,noun,,
whole,-2000,ˈkeħilos,adj,whole,257109
whole,200,ˈxɑjlɑz,adj,,
whole,900,ˈxɑːl,adj,,
whole,final,ˈhəʊl,adj,,
hard,-2000,korˈtus,adj,hard,242871
hard,200,ˈxɑrduz,adj,,
hard,900,ˈxæɑrd,adj,,
hard,1400,ˈhard,adj,,
hard,final,ˈhɑːd,adj,,
end,-2000,ħenˈtios,noun,end,237387
end,200,ˈɑndijɑz,noun,,
end,900,ˈende,noun,,
end,1400,ˈeːnd,noun,,
end,final,ˈɛnd,noun,,
heart,-2000,ˈkʲerdoː,noun,heart,213914
heart,200,ˈxertɔːː,noun,,
heart,900,ˈxeorte,noun,,
heart,1400,ˈhɛrt,noun,,
heart,final,ˈhɑːt,noun,,
young,-2000,ħjuχn̩ˈkʲos,adj,young,194810
young,200,ˈjuŋgɑz,adj,,
young,900,ˈjung,adj,,
young,1400,ˈjung,adj,,
young,final,ˈjʌŋ,adj,,
death,-2000,ˈdʱowtus,noun,death,189000
death,200,ˈdɑwθ̠uz,noun,,
death,900,ˈdæɑːθ̠,noun,,
death,1400,ˈdɛːθ̠,noun,,
death,final,ˈdɛθ,noun,,
five,-2000,ˈpenkʷe,num,five,183626
five,200,ˈɸimɸ,num,,
five,900,ˈfiːf,num,,
five,1400,ˈfiːf,num,,
five,final,ˈfaɪ̯v,num,,
four,-2000,kʷeˈtwores,num,four,166957
four,200,ˈɸeð̠wɔːr,num,,
four,900,ˈfeoːwer,num,,
four,1400,ˈfɔwr,num,,
four,final,ˈfɔː,num,,
word,-2000,ˈwerdʱom,noun,word,164938
word,200,ˈwurdɑ̃,noun,,
word,900,ˈword,noun,,
word,1400,ˈwurd,noun,,
word,final,ˈwɜːd,noun,,
daughter,-2000,dʱugħˈteːr,noun,daughter,163071
daughter,200,ˈduxtɛːr,noun,,
daughter,900,ˈdoxtor,noun,,
daughter,1400,ˈdɔxtər,noun,,
daughter,final,ˈdɔːtə,noun,,
fire,-2000,pħuˈoːr,noun,fire,157532
fire,200,ˈɸɔːr,noun,,
fire,900,ˈfyːr,noun,,
fire,1400,ˈfiːr,noun,,
fire,final,ˈfaɪə,noun,,
sister,-2000,ˈswesteːr,noun,sister,154095
sister,200,ˈswestɛːr,noun,,
sister,900,ˈsweostor,noun,,
sister,1400,ˈsustər,noun,,
free,-2000,priˈχos,adj,free,137598
free,200,ˈɸrijɑz,adj,,
free,900,ˈfreoː,adj,,
free,1400,ˈfrøː,adj,,
free,final,ˈfɹiː,adj,,
bed,-2000,bʱoˈdʱħjom,noun,bed,131445
bed,200,ˈbɑð̠jɑ̃,noun,,
bed,900,ˈbedd,noun,,
bed,1400,ˈbɛd,noun,,
bed,final,ˈbɛd,noun,,
full,-2000,pl̩ˈχnos,adj,full,129735
