symbol,syllabic,consonantal,sonorant,continuant,nasal,lateral,strident,voice,coronal,anterior,high,low,back,round,tense
p,-,+,-,-,-,-,-,-,-,+,-,-,-,-,
b,-,+,-,-,-,-,-,+,-,+,-,-,-,-,
t,-,+,-,-,-,-,-,-,+,+,-,-,-,-,
d,-,+,-,-,-,-,-,+,+,+,-,-,-,-,
k,-,+,-,-,-,-,-,-,-,-,+,-,+,-,
g,-,+,-,-,-,-,-,+,-,-,+,-,+,-,
m,-,+,+,-,+,-,-,+,-,+,-,-,-,-,
n,-,+,+,-,+,-,-,+,+,+,-,-,-,-,
ŋ,-,+,+,-,+,-,-,+,-,-,+,-,+,-,
f,-,+,-,+,-,-,+,-,-,+,-,-,-,-,
v,-,+,-,+,-,-,+,+,-,+,-,-,-,-,
s,-,+,-,+,-,-,+,-,+,+,-,-,-,-,
z,-,+,-,+,-,-,+,+,+,+,-,-,-,-,
l,-,+,+,+,-,+,-,+,+,+,-,-,-,-,
r,-,+,+,+,-,-,-,+,+,+,-,-,-,-,
i,+,-,+,+,-,-,-,+,,,+,-,-,-,+
e,+,-,+,+,-,-,-,+,,,-,-,-,-,+
a,+,-,+,+,-,-,-,+,,,-,+,+,-,-
o,+,-,+,+,-,-,-,+,,,-,-,+,+,+
u,+,-,+,+,-,-,-,+,,,+,-,+,+,+
